Curso,Preço,Carga Horaria
Excel Analytics com Inteligência Artificial,R$999,72 h
Fundamentos de Data Science e Inteligência Artificial,Gratuito,24 h
Fundamentos de Engenharia de Dados,Gratuito,24 h
Fundamentos de Linguagem Python Para Análise de Dados e Data Science,Gratuito,72 h
Análise e Previsão de Séries Temporais com Inteligência Artificial,R$1.449,72 h
Aplicações de Large Language Models (LLMs) na Área Médica,R$1.870,90 h
Armazenamento e Gestão de Dados com Data Lake e Data Lakehouse,R$1.530,86 h
Arquitetura de Plataforma de Dados e Modern Data Stack,R$1.340,96 h
Automação Robótica de Processos (RPA) com Automation Anywhere,R$1.230,88 h
Automação Robótica de Processos (RPA) com UiPath,R$1.250,88 h
"Automação de Processos e Engenharia de Dados com Python, Excel e IA",R$1.550,100 h
Automação de Workflows com Microsoft Power Automate,R$1.400,84 h
Business Analytics e Machine Learning Para Projetos de Data Science,R$1.590,144 h
Cloud Computing Data Science (com Amazon SageMaker e Microsoft Fabric),R$1.390,84 h
Data Science Para Análise Multivariada de Dados,R$1.399,80 h
Deep Learning Para Aplicações de Inteligência Artificial com Python e C++,R$1.740,96 h
Desenvolvimento e Deploy de Modelos de Machine Learning,R$1.680,100 h
Design e Administração de Cloud Computing AWS,R$1.250,72 h
Engenharia Financeira com Inteligência Artificial,R$1.800,96 h
"Engenharia de Dados com Airbyte, DBT e SQL",R$1.540,96 h
Engenharia de Software Para Machine Learning,R$980,64 h
IA Generativa e LLMs Para Processamento de Linguagem Natural,R$2.040,96 h
IA Generativa e LLMs Para a Área de Direito,R$2.100,96 h
"Infraestrutura Como Código com Terraform, AWS, Azure e Databricks",R$1.410,72 hs
Inteligência Artificial Para Análise de Imagens Médicas,R$1.600,96 h
Inteligência Artificial Para Segurança Cibernética,R$1.449,84 h
Inteligência Artificial Para Visão Computacional,R$1.540,96 h
LGPD - Governança de Dados e Gestão de Metadados,R$1.540,84 horas
MLOps e Ciclo de Vida de Modelos de Machine Learning,R$1.600,100 h
Machine Learning Para Aplicações Biomédicas,R$1.540,80 h
"Matemática e Estatística Aplicada Para Data Science, Machine Learning e IA",R$1.199,84 h
Microsoft Power BI Para Business Intelligence e Data Science,Gratuito,72 h
Modelagem de Séries Temporais e Real-Time Analytics com Apache Spark e Databricks,R$1.399,96 h
Modelagem e Análise de Dados com Power BI,R$1.440,96 h
"Modelagem, Implementação e Governança de Data Warehouses",R$1.300,80 h
Orquestração de Fluxos de Dados com Apache Airflow,R$1.430,84 h
Pipelines de Análise e Engenharia de Dados com Google BigQuery,R$1.500,86 hs
Pipelines de CI/CD Para Operações de Machine Learning e IA,R$1.870,100 h
Pipelines de ETL e Machine Learning com Apache Spark,R$1.349,84 h
Power BI Avançado para Análise de Dados com DAX,R$1.040,70 h
Projeto e Implementação de Plataforma de Dados com Snowflake,R$1.840,96 h
Projetos de Análise de Dados com Linguagem Python,R$1.420,82 h
Prompt Engineering com ChatGPT Para Análise de Dados e Data Science,R$1.349,60 h
PySpark e Apache Kafka Para Processamento de Dados em Batch e Streaming,R$1.400,90 h
R Fundamentos Para Análise de Dados,R$565,40 h
SQL Para Análise de Dados e Data Science,R$1.400,96 h
"Storytelling, Dashboards e Técnicas de Apresentação Para Cientistas de Dados",R$890,72 h
